productName,Sales Description,SKU,Type,Sales Price / Rate,Income Account,Purchase Description,Purchase Cost,Expense Account,Quantity on Hand,Reorder Point,Inventory Asset Account,Quantity as-of Date
Tomato Mexican , - 672067,FP1407,Inventory,,,40-Lb,,,,,,
Onion White 50Lb, - 671931,FP1416,Inventory,,,1-Ea,,,,,,
Sour Leaf Bunch Ea, - 671834,FP1417,Inventory,,,1-Ea,,,,,,
Mango Leaf 4 Pack, - 671829,FP1422,Inventory,,,1-,,,,,,
Banana Leaf Single, - 671820,FP1425,Inventory,,,30-lb,,,,,,
Eggplant Graffiti Big Per Lb, - 672087,FP1429,Inventory,,,1-Lb,,,,,,
Onion White Pearls 10Oz, - 671923,FP1430,Inventory,,,1-Ea,,,,,,
Onion Green Per Lb, - ,FP1431,Inventory,,,1-Lb,,,,,,
Raspberry Box, - 671894,FP1432,Inventory,,,1-,,,,,,
Carrot Per Lb,Carrot Box Cliptop 50# - 671962,FP1433,Inventory,,,50-Lb,,,,,,
Apni Mandi Cut Zucchini Per Lb, - ,FP1434,Inventory,,,1-,,,,,,
Apni Mandi Cut RamTori Per lb, - ,FP1435,Inventory,,,1-,,,,,,
Napa Talley, - 671831,FP1436,Inventory,,,1-,,,,,,
Mustard China, - 671865,FP1437,Inventory,,,24-Ea,,,,,,
Beet With Leaves, - 671888,FP1438,Inventory,,,1-,,,,,,
Carrot With Leaves, - 671961,FP1439,Inventory,,,1-,,,,,,
